Species,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
arabica,Thailand,Doi Tung Development Project,Gayo NAT 23/24 (Coffea Arabica),Dry Mill,,Doi Tung Development Project,1300-1500,North of Thailand,Doi Tung Development Project,2,1 kg,FABB Academy of Coffee,2023 / 2024,"June 26th, 2024",Doi Tung Development Project,Gayo,Completed,Natural / Dry,8.25,8.42,8,8.25,8.25,8.17,10,10,10,8.25,0,87.58,10.80%,0 full defects,0,Cream /Brown,0 full defects,,"June 26th, 2025",FABB Academy of Coffee,"FABB ACADEMY OF COFFEE 259/313 SUKHUMVIT 71 RD., SOI PRIDI BANOMYONG 15, VHADANA BKK, 10110 THAILAND",Janejira Kamonsawedkun - +(66) 095 095 9593
arabica,Thailand,Doi Tung Development Project,Typica 23/24 (Coffea Arabica),Dry Mill,,Doi Tung Development Project,1300-1500,North of Thailand,Doi Tung Development Project,2,1 kg,FABB Academy of Coffee,2023 / 2024,"June 26th, 2024",Doi Tung Development Project,Typica,Completed,Washed / Wet,8.08,8.33,8.42,8.17,8.08,8.17,10,10,10,8.33,0,87.58,10.20%,0 full defects,0,Green,0 full defects,,"June 26th, 2025",FABB Academy of Coffee,"FABB ACADEMY OF COFFEE 259/313 SUKHUMVIT 71 RD., SOI PRIDI BANOMYONG 15, VHADANA BKK, 10110 THAILAND",Janejira Kamonsawedkun - +(66) 095 095 9593
arabica,Ethiopia,Smallholders,36285,SCFCU mill Addis Ababa,010/0145/0154,Sidama Coffee Farmers Cooperative Union,1850-2062,Sidama,Shantagolba Cooperative,320,60 kg,METAD Agricultural Development plc,2024 / 2025,"March 27th, 2025",Sidama Coffee Farmers Cooperative Union,Ethiopian Heirlooms,Completed,Natural / Dry,8,8.08,8.08,8.33,8.08,8.75,10,10,10,8.08,0,87.42,8.30%,0 full defects,3,Yellow Green,5 full defects,,"March 27th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
arabica,Thailand,Yodying Phichayawanit,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"45 Moo.11,Ban Manee Pruek,Ngop, Thung Chang ,Nan, 55130",1200,"Ngop, Thung Chang, Nan",Yodying Phichayawanit,3,20 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Yodying Phichayawanit,Gesha,Completed,Natural / Dry,8.33,8.42,8.17,8,8.08,8.08,10,10,10,8.25,0,87.33,9.50%,0 full defects,0,Yellow-Green,2 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Thailand,Rawat Yodon,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"250,Ngop, Thung Chang ,Nan, 55130",1500,"Ngop, Thung Chang, Nan",Rawat Yodon,3,20 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Rawat Yodon,other,Completed,Natural / Dry,8.33,8.33,8.08,8.33,8,8.08,10,10,10,8.17,0,87.33,10.50%,0 full defects,0,,0 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Thailand,Ma Family Coffee Farm,May Big Lot,Ma Family Coffee,,Ma-Family Coffee Farm,1270,"Pangkhon, Chiang Rai",Asadawoot Yapanggoo,21,50 kg,Coffee Quality Institute,2023 / 2024,"July 12th, 2024",Asadawoot Yapaenggoo,Catimor,Completed,Natural / Dry,8.42,8.33,8,8.25,8.17,8,10,10,10,8.17,0,87.33,9.90%,0 full defects,0,,3 full defects,,"July 12th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Thailand,Tua Changaroon,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"143,Chae Son, Mueang Pan ,Lampang, 52240",1100,"Chae Son,Mueang Pan,Lampang",Tua Changaroon,3,20 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Tua Changaroon,Gesha,Completed,Natural / Dry,8.33,8.33,8.25,8.08,7.92,7.92,10,10,10,8.42,0,87.25,9.80%,0 full defects,0,,1 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Ethiopia,Abera Farm,2,Abera Milling staion,010/0398,Abebe mulgeta Genet Trading,1800-2200,SNNP Gedeo Zone,Abera Hailemariyam,1600,96000 kg,METAD Agricultural Development plc,2024 / 2025,"April 8th, 2025",Abebe Mulgeta,Ethiopian Yirgacheffe,Completed,Natural / Dry,8,8.25,8.17,8.33,8.33,8,10,10,10,8.08,0,87.17,8.90%,0 full defects,3,Yellow green,1 full defects,,"April 8th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
arabica,Thailand,Homhoh farm,May Big Lot,Mogoju Bean,,Independent,1100,"Mae Sariang, Mae Hong Son",Manop Phiarchobphai,34,29 kg,Coffee Quality Institute,2019 / 2020,"July 12th, 2024",Manop Phiarchobphai,Catimor,Completed,Natural / Dry,8.17,8.25,8.08,8.25,8.17,8.08,10,10,10,8.17,0,87.17,10.30%,0 full defects,0,,1 full defects,,"July 12th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Thailand,Chartchai Khabu,TCE,Big Black Box Dry Mill Plant,,"155,Chang Phueak, Mueang Chiang Mai ,Chiang Mai, 50300",1500,Chiang Mai,Chartchai Khabu,2,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Chartchai Khabu,Mixed: unknown variety,Completed,Pulped natural / honey,8.33,8.17,8.08,8.17,8.17,8,10,10,10,8.17,0,87.08,9.90%,0 full defects,0,,1 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Ethiopia,Nefarious Silk - Lafto,Natural Gesha gr.1 2025-P0099,Woreda 02 Addis Abeba,01021260004,Daarnhouwer,1100,Bench Maji,South BurshaTrading PLC,100,30 kg,METAD Agricultural Development plc,2024 / 2025,"April 17th, 2025",Hans Zevenhek,Gesha,Completed,Natural / Dry,8.08,8.08,8.17,8.33,8.08,8,10,10,10,8.33,0,87.08,9.80%,1 full defects,7,Yellow Green,14 full defects,,"April 17th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
arabica,Yemen,Hassan Alghabiasy,RR24002,Hassan Alghabiasy,,ROLLING ROASTERS,2380,East Haraz,Hassan Alghabiasy,1,20 kg,Coffee Quality Union,2023,"May 6th, 2024",ROLLING ROASTERS,Ancient Typica,Completed,Fermented in barrels with figs 4days,8.33,8.25,8.08,8.17,7.83,8.08,10,10,10,8.33,0,87.08,10.80%,0 full defects,2,Greenish,0 full defects,,"May 6th, 2025",Coffee Quality Union,3-24-9 Saiwai Otaru Hokkaido,Sakiko Kabeyama -
arabica,Taiwan,頭櫃山景觀生態咖啡農場,"2024 Sustainable Specialty Coffee Farm Awards,S072",頭櫃山景觀生態咖啡農場,,Taiwan Coffee Laboratory,1050,"台中市新社區 Xinshe Dist., Taichung City","賴建益 LAI,JIAN-YI",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.17,8.25,8.08,8.17,7.92,8.08,10,10,10,8.33,0,87,10.10%,0 full defects,0,Greenish,2 full defects,,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Taiwan,鄒築園 Zou Zhou Yuan,"2024 Sustainable Specialty Coffee Farm Awards,S068",鄒築園 Zou Zhou Yuan,,Taiwan Coffee Laboratory,1300,"嘉義縣阿里山鄉 Alishan Township, Chiayi County","方政倫 FANG, CHENG-LUN",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.33,8.17,8.08,8.08,8,8.08,10,10,10,8.25,0,87,11.60%,0 full defects,0,Bluish-Green,0 full defects,,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Ethiopia,Azeb Tadesse Wet-Dry Station,K 32036,Azeb Tadesse Wet-Dry Station,010-0218-0099,,2070,Kochere,Azeb Tadesse,300,30 kg,METAD Agricultural Development plc,2023 / 2024,"May 20th, 2024",Sojitz corporation,Ethiopian Heirlooms,Completed,Washed / Wet,8.08,8.17,8,8.33,8.08,8.17,10,10,10,8.17,0,87,10.10%,0 full defects,0,Greenish,3 full defects,,"May 20th, 2025",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
arabica,Taiwan,牛磨角庄園 Gû Buâ Kak Estate,"2024 Sustainable Specialty Coffee Farm Awards,S003",牛磨角庄園 Gû Buâ Kak Estate,,Taiwan Coffee Laboratory,1200,"嘉義縣梅山鄉 Meishan Township, Chiayi County","陳秉汯 CHEN, BING-HONG",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8,8.17,8,8.33,8.17,8.08,10,10,10,8.17,0,86.92,11.20%,0 full defects,0,Greenish,2 full defects,,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Ethiopia,Smallholders,36284,SCFCU mill Addis Ababa,010/0145/0057,Sidama Coffee Farmers Cooperative Union,1850-2000,Sidama,Shantagolba Cooperative,320,60 kg,METAD Agricultural Development plc,2024 / 2025,"March 27th, 2025",Sidama Coffee Farmers Cooperative Union,Ethiopian Heirlooms,Completed,Washed / Wet,8.08,8.08,8.08,8.42,7.92,8.08,10,10,10,8.17,0,86.83,8.60%,0 full defects,1,Blue-Green,4 full defects,,"March 27th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
arabica,Thailand,Ching Saethao,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"145,Ngop, Thung Chang ,Nan, 55130",1350,"Ngop, Thung Chang,Nan",Ching Saethao,2,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Ching Saethso,Gesha,Completed,Washed / Wet,8,8.25,8,8.25,8,8.08,10,10,10,8.25,0,86.83,10.70%,0 full defects,0,,0 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Thailand,Ma Gor Loe Coffee Farm,1,Hulling Facility,,Ma Gor Loe Coffee Farm,"1,200-1,300","Doi Saket, Chiangmai",Paranya Nanthakun,1,10 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"October 29th, 2024",Paranya Nanthakun,Gesha,Completed,Natural / Dry,8.42,8.33,8,8.08,7.92,7.92,10,10,10,8.17,0,86.83,10%,0 full defects,0,yellow -green,0 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
arabica,Taiwan,"十萬咖啡	(Shin Wan café)",2024臺南市國產精品咖啡評鑑批次,"十萬咖啡	(Shin Wan café)",,Taiwan Coffee Laboratory,650,"台南市東山區 Dongshan Dist., Tainan City","陳天財（CHEN,TIAN-CAI）",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2023 / 2024,"July 22nd, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.17,8.17,8.25,8.08,8,8.08,10,10,10,8.08,0,86.83,11.30%,0 full defects,0,Green,0 full defects,,"July 22nd, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Thailand,Phongsak Chotoatsawawong,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"208,Ngop, Thung Chang ,Nan, 55130",1400,"Ngop, Thung Chang, Nan",Phongsak Chotoatsawawong,3,20 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Phongsak Chotoatsawawong,Syrina,Completed,Natural / Dry,8.17,8.25,7.92,8.17,8.25,7.92,10,10,10,8.17,0,86.83,9.10%,0 full defects,0,Yellow-Green,0 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,"Tanzania, United Republic Of",IYENGA,S71722/P05903,CITY COFFEE LTD,033/DE/725/0018,VOLCAFE/TaylorWinch Tanzania Ltd,1624,Mbeya,IYENGA AMCOS,600,30 kg,Kenya Coffee Traders Association,2024 / 2025,"October 18th, 2024",Balam Hinyula,Bourbon,Completed,Washed / Wet,8.08,8,8.17,8.08,8.17,8.17,10,10,10,8.17,0,86.83,11%,0 full defects,0,Green,2 full defects,,"October 18th, 2025",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
arabica,Ethiopia,Abera Farm,2,Abera washing staion,010/0398,Abebe mulgeta Genet Trading,1800-2200,SNNP Gedeo Zone,Abera Hailemariyam,1600,96000 kg,METAD Agricultural Development plc,2024 / 2025,"April 8th, 2025",Abebe Mulgeta,Ethiopian Yirgacheffe,Completed,Washed / Wet,7.92,8.08,8,8.42,8.08,8.08,10,10,10,8.17,0,86.75,9.80%,0 full defects,0,Blue-Green,1 full defects,,"April 8th, 2026",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
arabica,Taiwan,仙井咖啡莊園 Xian Jing Estate,"2024 Sustainable Specialty Coffee Farm Awards,S052",仙井咖啡莊園 Xian Jing Estate,,Taiwan Coffee Laboratory,1100,"嘉義縣番路鄉 Fanlu Township, Chiayi County","范姵甯 FAN,PEI-NING",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Bourbon x Geisha,Completed,Pulped natural / honey,8.17,8.25,8.08,7.92,7.83,8.25,10,10,10,8.17,0,86.67,10.20%,0 full defects,0,Green,0 full defects,,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Colombia,San Joaquin Estate,CARPE2655,.,,Allegro Coffee,1950,Narino,San Joaquin,1,70 kg,Private Grading Center,2024 / 2025,"March 14th, 2025",Allegro Coffee,Castillo,Completed,Washed / Wet,8.08,8.25,7.83,8.33,7.83,8,10,10,10,8.25,0,86.58,9.80%,0 full defects,2,Green,2 full defects,,"March 14th, 2026",Private Grading Center,,Carrie Blaida -
arabica,Taiwan,向陽台灣咖啡 Sunlit Taiwan Coffee Farm,"2024 Sustainable Specialty Coffee Farm Awards,S086",向陽台灣咖啡 Sunlit Taiwan Coffee Farm,,Taiwan Coffee Laboratory,1000,"南投縣國姓鄉 Guoxing Township, Nantou County","林言謙 LIN, YEN-CHIEN",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.08,8.17,8,8.08,7.92,8.08,10,10,10,8.17,0,86.5,10.10%,0 full defects,0,Greenish,0 full defects,,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Colombia,,3-1832-11038,TRILLADORA ANDES - SUCDEN SERVICIOS,1832,SUCDEN COLOMBIA SAS,1400-2200,HUILA,SEVERAL,600,30 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,"November 23rd, 2024",Nataly Marcela Cujia Sierra,CASTILLO-CATURRA-COLOMBIA,Completed,WASHED,8.08,8.08,7.92,7.92,8,8.5,10,10,10,7.92,0,86.42,11.80%,0 full defects,0,Green,2 full defects,,"November 23rd, 2025",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
arabica,Taiwan,名陽園 MINGYANG,"2024 Sustainable Specialty Coffee Farm Awards,S031",名陽園 MINGYANG,,Taiwan Coffee Laboratory,1500,"嘉義縣 竹崎鄉 Zhuqi Township, Chiayi County","王政淵 WANG, CHENG-YUAN",1,8 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 29th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.08,8.08,8,8,8,8.08,10,10,10,8.08,0,86.33,10%,0 full defects,0,Greenish,0 full defects,,"October 29th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Ethiopia,YIRGACHEFFEE ARICHA,0231A,TRACON PROCESSING MILL,,kebir coffee,1980,YIRGACHEFFEE ARICHA,KEBIR COFEE TRADING PLC,6,60 kg,METAD Agricultural Development plc,2023 / 2024,"June 11th, 2024",kebir coffee,Ethiopian Yirgacheffe,Completed,Natural / Dry,7.92,8,8,8.42,8,8,10,10,10,8,0,86.33,10.10%,0 full defects,10,Yellow Green,15 full defects,,"June 11th, 2025",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
arabica,Taiwan,崁頭山紅楓咖啡(Kan Tou Mountain Coffee),2024臺南市國產精品咖啡評鑑批次,崁頭山紅楓咖啡(Kan Tou Mountain Coffee),,Taiwan Coffee Laboratory,750,"台南市東山區 Dongshan Dist., Tainan City","郭俊宏 (Kuo,Jun-Hong)",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2023 / 2024,"July 22nd, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,8.08,8.08,8.08,7.92,7.83,8,10,10,10,8.25,0,86.25,11.20%,0 full defects,0,Greenish,0 full defects,,"July 22nd, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
arabica,Thailand,Forest Coffee Beans,May Big Lot,PANA Coffee,,Independent,1250,"Omkoi, Chiang Mai",Seksan Deecho,14,25 kg,Coffee Quality Institute,2023 / 2024,"July 12th, 2024",Seksan Dicho,"Bourbon, Typica",Completed,Natural / Dry,7.92,8.25,7.92,7.92,8.25,8,10,10,10,8,0,86.25,11.40%,0 full defects,0,,0 full defects,,"July 12th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Taiwan,泥妲咖啡(Nita Coffee Manor),2024花蓮縣第8屆精品咖啡評鑑批次,泥妲咖啡(Nita Coffee Manor),,Taiwan Coffee Laboratory,300-600,"花蓮縣秀林鄉 Hualien County,Show Linxia Township","戴豐秋 (Dai,fong-ciou)",1,20 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"October 4th, 2024",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,8,8.17,7.92,8,7.92,8.08,10,10,10,8.17,0,86.25,11.70%,0 full defects,0,Green,0 full defects,,"October 4th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
