Species,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Fragrance / Aroma,Flavor,Aftertaste,Salt / Acid,Bitter / Sweet,Mouthfeel,Uniform Cup,Clean Cup,Balance,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
robusta,Thailand,Chari Manob,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,Phutawan Robusta krabi,165,"Khao Khen, Plai Phraya, Krabi",Chari Manob,25,3 kg,Coffee Quality Institute,2023 / 2024,"October 14th, 2024",Jaree Manob,Mixed: unknown variety,Completed,Natural / Dry,8.17,8.33,8.17,8.33,8.33,8.25,10,10,8.17,8.33,0,86.08,9%,8 full defects,0,Brownish,3 full defects,,"October 14th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
robusta,Vietnam,K'HO FINE ROBUSTA,R1,K'HO FINE ROBUSTA,,Babros Coffee Works,1200,"Don Duong, Lam Dong",K'HO FINE ROBUSTA,30,30 kg,STONE VILLAGE LAB VIETNAM,2023 / 2024,"July 25th, 2024",BABROS COFFEE WORKS,TR4,Completed,Anaerobic natural DF,8.33,8.25,8.25,8.17,8.25,8.25,10,10,8.17,8.33,0,86,11.50%,0 full defects,0,Bluish-Green,0 full defects,,"July 25th, 2025",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
robusta,Vietnam,CÔNG TY TNHH NÔNG NGHIỆP THỰC PHẨM HỮU CƠ VIỆT NAM,R056,DRY MILL,,HIEPHOICAPHEBUONMATHUOT,700-900,DI LINH,CÔNG TY TNHH NÔNG NGHIỆP THỰC PHẨM HỮU CƠ VIỆT NAM,133,60 kg,STONE VILLAGE LAB VIETNAM,2023 / 2024,"July 8th, 2024",HIEP HOI CA PHE BUON MA THUOT,ROBUSTA,Completed,Natural / Dry,8.08,8.08,8.33,8.25,8.42,8.17,10,10,8.25,8.33,0,85.92,12%,0 full defects,0,Green,0 full defects,,"July 8th, 2025",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
robusta,Thailand,Fine Buster,1,Dry,,Fine Buster,1300,นครเทิง,Mujarin Opaso,2,10 kg,Specialty Coffee Institute of Thailand,2022 / 2023,"November 7th, 2024",Mujarin Opaso,,Completed,Natural / Dry,8.17,8.08,8,8.17,8.25,8.08,10,10,8.17,8.92,0,85.83,9.40%,0 full defects,0,yellowish,0 full defects,,"November 7th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
robusta,Vietnam,Like Farm,1,Like Farm,,Hợp tác xã Liên Kết,950,"Thôn Liên Kết, xã Đạ Đờn, huyện Lâm Hà, tỉnh Lâm Đồng",Mai Nguyễn Quốc Thắng,183,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Mai Nguyen Quoc Thang,"TR4, Hỗn hợp",Completed,Honey (lên men rượu mật chuối laba),8.08,8.17,8.08,8.42,8.25,8.25,10,10,8.25,8.25,0,85.75,9.90%,0 full defects,0,Yellow-Green,1 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,NGỌC MORI FARM,1,NGỌC MORI FARM,,Mori coffee,700,"Bàu Cạn, Chư Prong, Gia Lai",Đoàn Quốc Việt,12,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Tran Thi Bich Ngoc,TR4,Completed,Natural (Sugar cane),8.42,8.33,8.17,8.33,8.17,8.17,10,10,8.08,8.08,0,85.75,9.50%,0 full defects,0,Yellow-Green,1 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Cambodia,PIDA COFFEE FARM,RO1,PIDA COFFEE FARM,,Babros Coffee Works,700,Mondulkiri,PIDA COFFEE FARM,30,30 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"March 24th, 2025",BABROS COFFEE WORKS,,Completed,Anaerobic natural,8.17,8.08,8.17,8.25,8.33,8.17,10,10,8.25,8.17,0,85.58,12%,0 full defects,1,Blue-Green,0 full defects,,"March 24th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
robusta,Vietnam,An Coffee Farm,1,An Coffee Farm,,Ca phe chat luong cao Lam Ha co.ltd,1000,Lâm Hà-Lâm Đồng,Công Ty TNHH Cà Phê Chất Lượng Cao Lâm Hà,200,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",An Coffee Farm Viet Nam,Mixed,Completed,Natural / Dry,8.25,8.25,8.08,8.33,8.17,8.25,10,10,8.17,8.08,0,85.58,10.20%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,ĐOANGIA GAP COFFEE,1,ĐOANGIA GAP COFFEE,,công ty TNHH-TM Đoàn Gia Đăk Nông,700,"Thôn 2, Đăk Bukso, Tuy Đức, Đăk Nông",Công Ty TNHH-TM Đoàn Gia Đắk Nông,267,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",doan ngoc cong,Mixed,Completed,Natural / Dry,8.25,8.17,8.17,8.33,8.17,8.17,10,10,8.17,8.08,0,85.5,10.60%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,India,Papakuchi Coffee,Papakuchi Robusta Anaerobic Honey -14/1593/2024/001,Laxmi Coffee Curing Works Ltd.,14/1593/2024/001,"Saka no Tochu Co., Ltd.",1150,"Western Ghats, India",Pavan,25,30 kg,Kim Kiljin Coffee Lab,2023 / 2024,"September 10th, 2024",Saya Miyazaki,Old peridinia,Completed,Anaerobic fermentation with musirage,8.17,8.25,8.17,8.25,8.25,8,10,10,8.17,8.25,0,85.5,10.50%,0 full defects,0,Green,0 full defects,,"September 10th, 2025",Kim Kiljin Coffee Lab,"50, Seongsui-ro 24-gil, 4th Floor, Seongdong-gu, Seoul, Republic of Korea",Paul Kim - +82-10-7662-6245
robusta,Cameroon,Ze Filbert,AYOS 2024,Martin Nantcha,,AYOS Coffee GmbH,700,AYOS Cameroon,AYOS Coffee,10,60 kg,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),2024 / 2025,"December 30th, 2024",Mvongo Jean-Paul,Timor,Completed,Natural / Dry,8.08,8.17,8,8.25,8.33,8.17,10,10,8.25,8.25,0,85.5,10.90%,0 full defects,0,Yellow-green,0 full defects,,"December 30th, 2025",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland",Catherine Queiroz - +41 41 728 72 81
robusta,Vietnam,BUI COFFEE SUPPLY,1,BUI COFFEE SUPPLY,,Bui Coffee Supply,1100,"Cầu Đất, Xuân Trường, Đà Lạt, Lâm Đồng",Bùi Công Cảnh,500,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Bui Coffee Supply,Sẻ 138,Completed,Natural / Dry,8.17,8.33,8.08,8.33,8.17,8.17,10,10,8.08,8.08,0,85.42,11.70%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,48 - Daklao Café,1,48 - Daklao Café,,48 – Café Daklao,750,"Đắk Song, Đắk Nông",Đặng Văn Sự,117,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Huong Nguyen,TR4,Completed,Natural / Dry,8.17,8.33,8.08,8.25,8.08,8.08,10,10,8.08,8.08,0,85.17,10.20%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Thailand,Fly Robusta,1,dry mill,,Fly robusta,120,Chumphon south of Thailand,Katekanok,2,10 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"October 29th, 2024",katekanok,,Completed,Natural / Dry,8.33,8.25,8.17,8.25,8,7.92,10,10,8,8.25,0,85.17,12.50%,0 full defects,0,yellow - green,5 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
robusta,Vietnam,The Espresso Farm,HH AMAZING R026,DRY,,HIEPHOICAPHEBUONMATHUOT,700-900,DAKLAK,The Espresso Farm,42,60 kg,STONE VILLAGE LAB VIETNAM,2023 / 2024,"July 9th, 2024",HIEP HOI CA PHE BUON MA THUOT,ROBUSTA,Completed,Natural / Dry,8.08,8.17,8.08,8.08,8.25,8.08,10,10,8.17,8,0,84.92,12%,0 full defects,0,Blue-Green,0 full defects,,"July 9th, 2025",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
robusta,Vietnam,48 - Daklao Café,1,48 - Daklao Café,,48 – Café Daklao,750,"Đắk Song, Đắk Nông",Nguyễn Văn Chung,133,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Huong Nguyen,TR4,Completed,Natural / Dry,8.25,8.17,7.92,8.17,8,8.25,10,10,8.08,8,0,84.83,10.10%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,"Song Linh Co., Ltd",5,Song Linh,,"Songlinh Co., Ltd",650,"Buon Ma Thuot, Dak Lak",Soul Fine Robusta,10,60 kg,HQJ Coffee School,2024 / 2025,"April 7th, 2025",SOUL FINE ROBUSTA Vietnam,,Completed,Natural / Dry,8.33,8.33,8,8,8,8,10,10,8.08,8.08,0,84.83,13.10%,0 full defects,0,Green,0 full defects,,"April 7th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Thuận Nhiên farm,1,Thuận Nhiên farm,,Thuận Nhiên Farm,900,"Thôn 10, xã Tân Lâm, huyện Di Linh, tỉnh Lâm Đồng",Trần Minh Thuận,22,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Trần Minh Thuận,Mixed,Completed,Honey (Ver3),7.92,8.17,8.08,8.33,8.17,8.17,10,10,8,8,0,84.83,10.60%,0 full defects,0,Brownish,1 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Mộc Chill Coffee,1,Mộc Chill Coffee,,Dancafe,900,"Thôn Liên Kết, xã Đạ Đờn, huyện Lâm Hà, tỉnh Lâm Đồng",Nguyễn Hữu Thanh,33,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Danh Nguyen,Thiện Trường,Completed,Honey (Ferment in 48h),8,8.17,8,8.25,8.17,8.08,10,10,8.08,8,0,84.75,10.10%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Thailand,Pawonwich Khamhom,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"8, moo.1, Tambon Nam Phang, Amphoe Mae Charim, Nan, 55170",457,"Nam Pang, Mae Charim, Nan",Pawonwich Khamhom,3,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Pawarawit Khamhom,Mixed: unknown variety,Completed,Natural / Dry,8,8.08,8.17,8,8.08,8.33,10,10,8,8,0,84.67,9.50%,4 full defects,0,Brownish,3 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
robusta,Vietnam,Hưng Thịnh Farm,1,Hưng Thịnh Farm,,Hưng Thịnh Farm,750,"Thôn 2, Đắk Buk Sor, Tuy Đức, Đắk Nông",Phùng Văn Thịnh,33,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Phùng Văn Thịnh,Mixed,Completed,Natural / Dry,8,8.17,8.08,8.17,8.17,8.08,10,10,7.92,7.92,0,84.5,11.10%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,CTY TNHH MTV THƯƠNG MẠI XNK TOÀN THỊNH,1,CTY TNHH MTV THƯƠNG MẠI XNK TOÀN THỊNH,,TNHH MTV TM XNK TOÀN THỊNH,690,"Nhân Cơ, Đăk R'lấp, Đắk Nông",Trương Công Thịnh,1,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Trương Công Thịnh,Cũ,Completed,Natural (nền xi măng),8,8.08,8,8.17,8.08,8.17,10,10,8,8,0,84.5,11.60%,0 full defects,0,Brownish,1 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Ea Tan Cooperative,ETC_N02,dry mill,,SIMEXCO DAKLAK LTD,820-830,Đắk Lắk,Ea Tan Cooperative,3,30 kg,STONE VILLAGE LAB VIETNAM,2023 / 2024,"October 4th, 2024",Simexco DakLak,SẺ,Completed,Natural / Dry,8.25,8.17,7.92,8.08,7.92,8,10,10,8,8.08,0,84.42,11.90%,0 full defects,0,Bluish-Green,0 full defects,,"October 4th, 2025",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
robusta,Vietnam,Ea Tan Cooperative,VNR-N9,SIMEXCO DAKLAK LTD.,,SIMEXCO DAKLAK LTD,850,"Thanh Cao Village, Ea Tan Commune, Krong Nang District, Daklak Province, VietNam",Ea Tan Cooperative,29,30 kg,HQJ Coffee School,2023 / 2024,"July 31st, 2024",Simexco DakLak,TR9,Completed,Natural / Dry,8.08,8.25,8,8,8,7.92,10,10,8,8.08,0,84.33,11.40%,0 full defects,0,Brownish,1 full defects,,"July 31st, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Thailand,Tanagrit Rungpokinan,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,Independent,500,"Pha Thong, Tha Wang Pha, Nan",Tanagrit Rungpokinan,3,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Tanagrit Rungpokinan,Mixed: unknown variety,Completed,Natural / Dry,8,8.17,8,8.17,8,8,10,10,7.92,8.08,0,84.33,9.70%,3 full defects,0,Yellowish,1 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
robusta,Thailand,LMJB Farm,1,Dry,,LMJB,70,Thasae Chumpon,Panuwat Kimsia,1,10 kg,Specialty Coffee Institute of Thailand,2024,"October 29th, 2024",Panuwat Kimsia,Catimor,Completed,Natural / Dry,8.25,8.08,8.08,8.08,8,7.83,10,10,7.92,7.92,0,84.17,10.80%,0 full defects,0,yellow-green,0 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
robusta,Vietnam,"Song Linh Co., Ltd",7,Song Linh,,"Songlinh Co., Ltd",650,"Buon Ma Thuot, Dak Lak",Soul Fine Robusta,20,60 kg,HQJ Coffee School,2024 / 2025,"April 7th, 2025",SOUL FINE ROBUSTA Vietnam,,Completed,Natural anaerobic,8.17,8.08,8,8,7.92,8,10,10,8,7.92,0,84.08,12.90%,0 full defects,0,Green,0 full defects,,"April 7th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Carabu Farm,R03,23 nguyen cư trinh,,"carabu coffee. co., ltd",500,Buon Ma Thuot City,Carabu,60,25 kg,Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),2023 / 2024,"October 29th, 2024",CARABU COFFEE,Blue Mountain,Completed,Natural / Dry,8.25,8.08,8,7.92,8.08,7.83,10,10,7.92,8,0,84.08,11.90%,0 full defects,0,Yellowish,0 full defects,,"October 29th, 2025",Vietnam Commodity Control & Certification Joint Stock Company (VCC&C),"1 G Dinh Bo Linh Street, 15 ward, Binh Thanh District, Ho Chi Minh City","Hai,Tran Quang. - 84 8 98 967 8708"
robusta,Thailand,gem forest coffee (Num meet),#120224,gem forsest coffee,,"Gemforest coffee LTD.,Part.",450,Nan,Wanwisa Jordan,1,10 kg,Specialty Coffee Institute of Thailand,2024,"October 29th, 2024",Wanwisa Jordan,,Completed,Natural / Dry,8.08,8,7.83,8,7.83,8.08,10,10,8.08,8.08,0,84,10.40%,0 full defects,0,yellow-green,0 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
robusta,Vietnam,"Song Linh Co., Ltd",6,Song Linh,,"Songlinh Co., Ltd",650,"Buon Ma Thuot, Dak Lak",Soul Fine Robusta,19,60 kg,HQJ Coffee School,2024 / 2025,"April 7th, 2025",SOUL FINE ROBUSTA Vietnam,,Completed,Pulped natural / honey,7.92,7.92,8,8.17,8.08,7.83,10,10,8,8,0,83.92,10.60%,0 full defects,0,Green,1 full defects,,"April 7th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,Công ty Lan Sơn Lâm Đồng,01,Dry mill,,LAN SON LAM DONG COMPANY LIMITED,900,"Hoài Đức, Lâm Hà, Lâm Đồng",Lê Quang Tuấn,13,60 kg,HQJ Coffee School,2020 / 2021,"April 7th, 2025",LE QUANG TUAN,Robusta,Completed,Natural / Dry,8,8.08,8.08,8,7.83,8,10,10,8,7.92,0,83.92,10.90%,0 full defects,0,Green,0 full defects,,"April 7th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Thailand,Janki Coffee,May Special Lot,Petch Mahachai,,Coffee,500,"Phob Phra, Tak",Athit Sengtow,2,30 kg,Coffee Quality Institute,2023 / 2024,"July 12th, 2024",Athit Sengtow,Other,Completed,Pulped natural / honey,8,8,8.17,7.92,8,7.92,10,10,7.92,7.92,0,83.83,10.70%,0 full defects,0,Brownish,1 full defects,,"July 12th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
robusta,Vietnam,FiRo Group,FiRo anaerobic Natural 24/25,Fine Robusta Vietnam,,Fine Robusta Vietnam,500-600,Gia Lai,Fine Robusta Vietnam,5150,60 kg,HQJ Coffee School,2024 / 2025,"April 7th, 2025",FiRo Academy,Heirloom,Completed,Anaerobic Natural,7.92,7.83,7.83,8.08,8.08,8,10,10,8,8,0,83.75,13.10%,0 full defects,0,Green,1 full defects,,"April 7th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Thailand,Huay Mai Hang Farm,2567/001,Jangki Coffee Company,,Jangki Coffee,900,ตาก,Athit Sengtow,1,10 kg,Specialty Coffee Institute of Thailand,2023 / 2024,"October 29th, 2024",Athit Sengtow,Robusta,Completed,Natural / Dry,8.17,8,8,7.92,7.92,7.92,10,10,7.83,8,0,83.75,11.40%,0 full defects,0,yellowish,0 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
robusta,Vietnam,The Espresso Farm,TE NA1,DRY MILL,,The Espresso Farm,650 – 700,Đắk Lắk,The Espresso Farm,50,60 kg,STONE VILLAGE LAB VIETNAM,2023 / 2024,"April 29th, 2024",s quality coffee lab (stone village),,Completed,Natural / Dry,8.08,8,8,7.83,8.08,8,10,10,7.92,7.83,0,83.75,11.90%,0 full defects,0,Bluish-Green,0 full defects,,"April 29th, 2025",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
